Trials,Estimated_e,Execution_Time(s),Relative_Error
10,3.000000000000000,0.0002,.103638323514327
100,2.790000000000000,0.0000,.026383640868324
1000,2.773000000000000,0.0001,.020129690368409
10000,2.727700000000000,0.0002,.003464751683343
100000,2.722950000000000,0.0012,.001717324337778
1000000,2.718718000000000,0.0034,.000160458542741
10000000,2.717934700000000,0.0288,.000127701423528
100000000,2.718311190000001,0.2849,.000010801507278
1000000000,2.718277723000005,2.7729,.000001510313977
10000000000,2.718276583800002,27.8603,.000001929402237
