Trials,Estimated_e,Execution_Time(s),Relative_Error
10,3.000000000000000,0.0001,.103638323514327
100,2.810000000000000,0.0001,.033741229691753
1000,2.734000000000000,0.0001,.005782392162723
10000,2.725400000000000,0.0002,.002618628968648
100000,2.718210000000000,0.0012,.000026424213373
1000000,2.719448000000000,0.0028,.000429010534796
10000000,2.718990200000000,0.0228,.000260595326628
100000000,2.718302230000000,0.1709,.000007505307485
1000000000,2.718315100999999,1.5716,.000012240283772
10000000000,2.718285312700004,15.9806,.000001281780616
