Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.600000000000000,0.0005,.043513452954249
100,2.650000000000000,0.0004,.025119480895677
1000,2.705000000000000,0.0004,.004886111631248
10000,2.724800000000000,0.0004,.002397901303946
100000,2.719570000000000,0.0014,.000473891826619
1000000,2.717629000000000,0.0024,.000240162168694
10000000,2.717867899999999,0.0178,.000152275770198
100000000,2.718070920000000,0.1388,.000077588886051
1000000000,2.718268715000001,1.4131,.000004824171984
10000000000,2.718276129200002,14.0220,.000002096640231
