Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.600000000000000,0.0002,.043513452954249
100,2.760000000000000,0.0002,.015347257633180
1000,2.684000000000000,0.0001,.012611579895848
10000,2.709100000000000,0.0002,.003377805922445
100000,2.719620000000000,0.0012,.000492285798678
1000000,2.718903000000000,0.0023,.000228516239358
10000000,2.718734800000000,0.0206,.000166638917353
100000000,2.718256620000000,0.1386,.000009273673826
1000000000,2.718303833000000,1.3756,.000008095018229
10000000000,2.718269211100002,13.3838,.000004641666993
