Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.900000000000000,0.0002,.066850379397182
100,2.610000000000000,0.0002,.039834658542535
1000,2.722000000000000,0.0003,.001367838868666
10000,2.713600000000000,0.0003,.001722348437174
100000,2.714430000000000,0.0013,.001417008501001
1000000,2.717128000000000,0.0019,.000424469768721
10000000,2.718118100000000,0.0176,.000060232334017
100000000,2.718189380000000,0.1436,.000034009887450
1000000000,2.718271732000000,1.4433,.000003714279711
10000000000,2.718286132500002,14.3770,.000001583368182
