Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.600000000000000,0.0005,.043513452954249
100,2.760000000000000,0.0004,.015347257633180
1000,2.736000000000000,0.0004,.006518151045066
10000,2.732300000000000,0.0004,.005156997112731
100000,2.720230000000000,0.0014,.000716692257792
1000000,2.718799000000000,0.0019,.000190256777476
10000000,2.717838299999999,0.0165,.000163165001657
100000000,2.718078489999999,0.1513,.000074804038682
1000000000,2.718282311000000,1.4473,.000000177516896
10000000000,2.718282902800002,13.9822,.000000395227950
