Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.500000000000000,0.0002,.080301397071394
100,2.700000000000000,0.0002,.006725508837105
1000,2.691000000000000,0.0002,.010036423807648
10000,2.710500000000000,0.0003,.002862774704805
100000,2.717020000000000,0.0013,.000464200748367
1000000,2.717336000000000,0.0025,.000347950844957
10000000,2.718202000000000,0.0222,.000029367248903
100000000,2.718133990000000,0.1845,.000054386729697
1000000000,2.718276375000000,1.4113,.000002006215465
10000000000,2.718284509300003,13.8483,.000000986226273
