Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.100000000000000,0.0002,.227453173539971
100,2.590000000000000,0.0002,.047192247365964
1000,2.722000000000000,0.0002,.001367838868666
10000,2.720500000000000,0.0002,.000816019706908
100000,2.716160000000000,0.0004,.000780577067775
1000000,2.718268000000001,0.0021,.000005087205785
10000000,2.718315100000000,0.0174,.000012239915893
100000000,2.718315630000000,0.1614,.000012434891997
1000000000,2.718232515000025,1.5434,.000018141407746
10000000000,2.718270301800074,13.4501,.000004240420860
