Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.700000000000000,0.0004,.006725508837105
100,2.690000000000000,0.0003,.010404303248820
1000,2.710000000000000,0.0003,.003046714425391
10000,2.708700000000000,0.0004,.003524957698914
100000,2.719650000000001,0.0006,.000503322181913
1000000,2.717774000000000,0.0020,.000186819649724
10000000,2.718310000000000,0.0184,.000010363730743
100000000,2.718241899999999,0.1567,.000014688859200
1000000000,2.718261723999989,1.4930,.000007396017162
10000000000,2.718280821500045,14.3237,.000000370439514
