Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.600000000000000,0.0003,.043513452954249
100,2.680000000000000,0.0004,.014083097660534
1000,2.716000000000000,0.0002,.000839437778362
10000,2.724600000000000,0.0003,.002324325415711
100000,2.717860000000000,0.0005,.000155182017783
1000000,2.718021000000000,0.0023,.000095953427755
10000000,2.718111500000000,0.0240,.000062660338329
100000000,2.718165039999999,0.1724,.000042964073049
1000000000,2.718298366000002,1.5702,.000006083821325
10000000000,2.718277547600042,15.9486,.000001574840017
