Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.400000000000000,0.0002,.117089341188538
100,2.660000000000000,0.0002,.021440686483963
1000,2.752000000000000,0.0002,.012404222103809
10000,2.719400000000000,0.0002,.000411352321620
100000,2.713240000000000,0.0004,.001854785035995
1000000,2.717751000000000,0.0024,.000195280876871
10000000,2.718239400000000,0.0223,.000015608557803
100000000,2.718203439999999,0.1732,.000028837502508
1000000000,2.718275130000011,1.5617,.000002464225366
10000000000,2.718272433400047,15.4488,.000003456249053
