Trials,Estimated_e,Execution_Time(s),Relative_Error
10,3.100000000000000,0.0001,.140426267631471
100,2.840000000000000,0.0001,.044777612926896
1000,2.739000000000000,0.0001,.007621789368580
10000,2.715100000000000,0.0002,.001170529275416
100000,2.722120000000000,0.0004,.001411984401606
1000000,2.719700000000000,0.0020,.000521716153971
10000000,2.718277200000000,0.0185,.000001702714926
100000000,2.718474030000000,0.1735,.000070706995478
1000000000,2.718277181000022,1.6251,.000001709704628
10000000000,2.718283884700185,15.8163,.000000756448841
