Trials,Estimated_e,Execution_Time(s),Relative_Error
10,3.600000000000000,0.0003,.324365988217192
100,2.750000000000000,0.0001,.011668463221466
1000,2.742000000000000,0.0001,.008725427692094
10000,2.704200000000000,0.0001,.005180415184185
100000,2.716620000000000,0.0004,.000611352524836
1000000,2.719352000000000,0.0029,.000393694108444
10000000,2.718178900000001,0.0286,.000037865263993
100000000,2.718200769999982,0.2791,.000029819740622
1000000000,2.718280086000043,2.7932,.000000641014843
10000000000,2.718276337300081,27.8677,.000002020084491
