Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.500000000000000,0.0004,.080301397071394
100,2.700000000000000,0.0004,.006725508837105
1000,2.731000000000000,0.0004,.004678753839209
10000,2.712900000000000,0.0004,.001979864045994
100000,2.714530000000000,0.0005,.001380220556884
1000000,2.718275000000000,0.0020,.000002512049697
10000000,2.718579800000000,0.0173,.000109617603971
100000000,2.718231650000000,0.1400,.000018459623472
1000000000,2.718280536999979,1.4942,.000000475101239
10000000000,2.718279882800047,14.3582,.000000715767944
