Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.500000000000000,0.0003,.080301397071394
100,2.830000000000000,0.0006,.041098818515181
1000,2.761000000000000,0.0003,.015715137074352
10000,2.719600000000000,0.0004,.000484928209854
100000,2.718720000000000,0.0005,.000161194301623
1000000,2.719447000000000,0.0024,.000428642655355
10000000,2.718344300000000,0.0227,.000022981995575
100000000,2.718305439999999,0.2067,.000008686200491
1000000000,2.718259154999993,1.6691,.000008341099445
10000000000,2.718287036000041,16.3068,.000001915747271
