Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.900000000000000,0.0003,.066850379397182
100,2.670000000000000,0.0002,.017761892072248
1000,2.709000000000000,0.0002,.003414593866562
10000,2.723400000000000,0.0003,.001882870086306
100000,2.715240000000000,0.0013,.001119026153652
1000000,2.717781000000000,0.0111,.000184244493636
10000000,2.718329999999999,0.0176,.000017721319566
100000000,2.718215160000000,0.1518,.000024525955457
1000000000,2.718268353000000,1.4733,.000004957344343
10000000000,2.718277416999999,14.7347,.000001622885088
