Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.800000000000000,0.0003,.030062435280038
100,2.820000000000000,0.0001,.037420024103467
1000,2.781000000000000,0.0001,.023072725897781
10000,2.730900000000000,0.0002,.004641965895091
100000,2.719290000000000,0.0011,.000370885583091
1000000,2.719180000000000,0.0126,.000330418844562
10000000,2.718166400000000,0.0350,.000042463757008
100000000,2.718126730000000,0.2844,.000057057534440
1000000000,2.718241739999999,3.0279,.000014747719911
10000000000,2.718275052300001,29.2390,.000002492809602
