Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.500000000000000,0.0002,.080301397071394
100,2.750000000000000,0.0002,.011668463221466
1000,2.714000000000000,0.0002,.001575196660705
10000,2.727400000000000,0.0002,.003354387850991
100000,2.723080000000000,0.0012,.001765148665131
1000000,2.718027000000000,0.0115,.000093746151108
10000000,2.718270000000000,0.0160,.000004351446903
100000000,2.718211920000000,0.1412,.000025717884846
1000000000,2.718274086999999,1.4881,.000002847923627
10000000000,2.718279078400000,15.9838,.000001011690184
