Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.600000000000000,0.0001,.043513452954249
100,2.720000000000000,0.0001,.000632079986323
1000,2.708000000000000,0.0002,.003782473307734
10000,2.714100000000000,0.0002,.001538408716588
100000,2.718360000000000,0.0012,.000028757702802
1000000,2.717790000000000,0.0113,.000180933578665
10000000,2.718189100000000,0.0249,.000034112893694
100000000,2.718308770000000,0.1869,.000009911239030
1000000000,2.718312879000000,1.8903,.000011422855654
10000000000,2.718284808700000,17.0890,.000001096369377
