Trials,Estimated_e,Execution_Time(s),Relative_Error
10,3.100000000000000,0.0003,.140426267631471
100,2.710000000000000,0.0003,.003046714425391
1000,2.731000000000000,0.0003,.004678753839209
10000,2.721900000000000,0.0003,.001331050924548
100000,2.721870000000000,0.0014,.001320014541313
1000000,2.717513000000000,0.0114,.000282836183870
10000000,2.718806499999999,0.0216,.000193015873284
100000000,2.718398450000000,0.1485,.000042902667315
1000000000,2.718261791000000,1.5240,.000007371369235
10000000000,2.718261038800000,14.3234,.000007648088151
