Trials,Estimated_e,Execution_Time(s),Relative_Error
10,3.000000000000000,0.0003,.103638323514327
100,2.730000000000000,0.0002,.004310874398037
1000,2.753000000000000,0.0003,.012772101544980
10000,2.728000000000000,0.0003,.003575115515694
100000,2.717590000000000,0.0013,.000254509466899
1000000,2.717738000000000,0.0112,.000200063309606
10000000,2.717960000000000,0.0158,.000118394073666
100000000,2.718299929999999,0.1420,.000006659184770
1000000000,2.718316155999999,1.4532,.000012628396582
10000000000,2.718289223400000,14.3450,.000002720446746
