Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.400000000000000,0.0004,.117089341188538
100,2.600000000000000,0.0005,.043513452954249
1000,2.676000000000000,0.0004,.015554615425220
10000,2.717900000000000,0.0004,.000140466840136
100000,2.717880000000000,0.0014,.000147824428960
1000000,2.718635000000000,0.0111,.000129924549124
10000000,2.718095000000000,0.0176,.000068730349108
100000000,2.718194720000000,0.1370,.000032045411234
1000000000,2.718270914000000,1.5545,.000004015205094
10000000000,2.718270420800000,14.2385,.000004196643234
