Trials,Estimated_e,Execution_Time(s),Relative_Error
10,3.200000000000000,0.0003,.177214211748615
100,2.800000000000000,0.0004,.030062435280038
1000,2.721000000000000,0.0003,.000999959427494
10000,2.724600000000000,0.0004,.002324325415711
100000,2.719730000000000,0.0013,.000532752537206
1000000,2.719557000000000,0.0112,.000469109393884
10000000,2.718077700000000,0.0162,.000075094663440
100000000,2.718332880000000,0.1421,.000018780812357
1000000000,2.718255282000000,1.4210,.000009765896518
10000000000,2.718273061100000,14.4458,.000003225331146
