Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.500000000000000,0.0001,.080301397071394
100,2.660000000000000,0.0001,.021440686483963
1000,2.688000000000000,0.0001,.011140062131162
10000,2.719600000000000,0.0002,.000484928209854
100000,2.721900000000000,0.0003,.001331050924548
1000000,2.719682000000000,0.0020,.000515094324030
10000000,2.718151700000000,0.0189,.000047871584793
100000000,2.718173499999999,0.1734,.000039851812976
1000000000,2.718246085999998,1.8153,.000013148915860
10000000000,2.718286702300001,16.7561,.000001792985887
