Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.900000000000000,0.0002,.066850379397182
100,2.710000000000000,0.0002,.003046714425391
1000,2.709000000000000,0.0002,.003414593866562
10000,2.710500000000000,0.0003,.002862774704805
100000,2.716180000000000,0.0004,.000773219478951
1000000,2.718002000000000,0.0021,.000102943137137
10000000,2.718288100000000,0.0183,.000002307170981
100000000,2.718378640000001,0.1579,.000035614975585
1000000000,2.718283279000003,1.5329,.000000533624197
10000000000,2.718291835499999,15.0506,.000003681384633
