Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.400000000000000,0.0003,.117089341188538
100,2.750000000000000,0.0001,.011668463221466
1000,2.748000000000000,0.0001,.010932704339123
10000,2.719200000000000,0.0002,.000337776433386
100000,2.713480000000000,0.0004,.001766493970114
1000000,2.718771000000000,0.0029,.000179956153123
10000000,2.717847600000000,0.0282,.000159743722854
100000000,2.718235970000001,0.2790,.000016870384286
1000000000,2.718280422000006,2.8285,.000000517407365
10000000000,2.718267868600022,28.1371,.000005135545136
