Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.300000000000000,0.0003,.153877285305682
100,2.700000000000000,0.0003,.006725508837105
1000,2.716000000000000,0.0003,.000839437778362
10000,2.729700000000000,0.0003,.004200510565686
100000,2.718470000000000,0.0005,.000069224441330
1000000,2.717502000000000,0.0021,.000286882857723
10000000,2.717614300000000,0.0182,.000245569996479
100000000,2.718122330000000,0.1476,.000058676203981
1000000000,2.718248816999998,1.5263,.000012144237106
10000000000,2.718285252100005,14.6538,.000001259487123
