Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.700000000000000,0.0004,.006725508837105
100,2.670000000000000,0.0004,.017761892072248
1000,2.693000000000000,0.0003,.009300664925305
10000,2.712300000000000,0.0003,.002200591710696
100000,2.716390000000000,0.0010,.000695964796305
1000000,2.717238000000000,0.0021,.000384003030192
10000000,2.717721100000001,0.0210,.000206280472162
100000000,2.718134439999998,0.1513,.000054221183949
1000000000,2.718211382999999,1.5036,.000025915436106
10000000000,2.718289868700004,14.4417,.000002957839350
