Trials,Estimated_e,Execution_Time(s),Relative_Error
10,3.200000000000000,0.0004,.177214211748615
100,2.750000000000000,0.0004,.011668463221466
1000,2.693000000000000,0.0004,.009300664925305
10000,2.720300000000000,0.0004,.000742443818674
100000,2.716030000000000,0.0006,.000828401395127
1000000,2.717337000000000,0.0023,.000347582965516
10000000,2.718020800000000,0.0160,.000096027003643
100000000,2.718106819999999,0.1408,.000064382014114
1000000000,2.718230154999999,1.5165,.000019009603237
10000000000,2.718291324600002,14.3859,.000003493435028
