Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.400000000000000,0.0002,.117089341188538
100,2.850000000000000,0.0002,.048456407338610
1000,2.703000000000000,0.0001,.005621870513591
10000,2.712400000000000,0.0002,.002163803766579
100000,2.716320000000000,0.0004,.000721716357187
1000000,2.718326000000000,0.0021,.000016249801802
10000000,2.718344500000000,0.0227,.000023055571463
100000000,2.718255200000000,0.1646,.000009796062632
1000000000,2.718290633000002,1.5549,.000003239009607
10000000000,2.718284793300012,14.8271,.000001090704038
