Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.500000000000000,0.0004,.080301397071394
100,2.660000000000000,0.0004,.021440686483963
1000,2.720000000000000,0.0004,.000632079986323
10000,2.712800000000000,0.0004,.002016651990111
100000,2.720910000000000,0.0014,.000966850277789
1000000,2.717857000000000,0.0114,.000156285656107
10000000,2.718364200000000,0.1107,.000030302796454
100000000,2.718257110000000,0.1520,.000009093412900
1000000000,2.718288312000000,1.4466,.000002385161423
10000000000,2.718283556400000,15.5799,.000000635673952
