Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.800000000000000,0.0003,.030062435280038
100,2.570000000000000,0.0003,.054549836189393
1000,2.699000000000000,0.0003,.007093388278277
10000,2.717200000000000,0.0003,.000397982448956
100000,2.713660000000000,0.0016,.001700275670703
1000000,2.718613000000000,0.0116,.000121831201418
10000000,2.718279900000000,0.1141,.000000709440435
100000000,2.718300520000000,0.1798,.000006876233641
1000000000,2.718290636000000,1.5962,.000003240113244
10000000000,2.718301113900000,16.1251,.000007094717241
