Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.800000000000000,0.0002,.030062435280038
100,2.750000000000000,0.0001,.011668463221466
1000,2.731000000000000,0.0001,.004678753839209
10000,2.710700000000000,0.0002,.002789198816571
100000,2.719330000000000,0.0012,.000385600760738
1000000,2.717951000000000,0.0113,.000121704988637
10000000,2.718643100000000,0.1117,.000132904372597
100000000,2.718329940000000,0.4292,.000017699246800
1000000000,2.718275325000000,2.9187,.000002392488879
10000000000,2.718274727299999,28.5502,.000002612370421
