Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.700000000000000,0.0003,.006725508837105
100,2.760000000000000,0.0003,.015347257633180
1000,2.777000000000000,0.0003,.021601208133095
10000,2.731700000000000,0.0003,.004936269448029
100000,2.719050000000000,0.0014,.000282594517210
1000000,2.719219000000000,0.0131,.000344766142768
10000000,2.718498400000000,0.1147,.000079672217460
100000000,2.718092690000000,0.1773,.000069580150617
1000000000,2.718240156000001,1.6816,.000015330440945
10000000000,2.718284466200000,16.5523,.000000970370668
