Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.800000000000000,0.0002,.030062435280038
100,2.800000000000000,0.0002,.030062435280038
1000,2.739000000000000,0.0002,.007621789368580
10000,2.713700000000000,0.0002,.001685560493056
100000,2.717230000000000,0.0012,.000386946065721
1000000,2.719469000000000,0.0111,.000436736003061
10000000,2.718608700000000,0.1101,.000120249319821
100000000,2.718323170000000,0.1475,.000015208702983
1000000000,2.718318683000000,1.5237,.000013558027931
10000000000,2.718280809600000,15.7346,.000000374817296
