Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.800000000000000,0.0003,.030062435280038
100,2.700000000000000,0.0003,.006725508837105
1000,2.703000000000000,0.0003,.005621870513591
10000,2.730800000000000,0.0004,.004605177950974
100000,2.717560000000000,0.0014,.000265545850135
1000000,2.718668000000000,0.0116,.000142064570682
10000000,2.718543800000000,0.1133,.000096373944089
100000000,2.718322000000000,0.1663,.000014778284037
1000000000,2.718269331000000,1.6716,.000004597558249
10000000000,2.718292615300000,14.5877,.000003968257022
