Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.400000000000000,0.0001,.117089341188538
100,2.530000000000000,0.0001,.069265013836250
1000,2.675000000000000,0.0001,.015922494866391
10000,2.715900000000000,0.0002,.000876225722479
100000,2.716250000000000,0.0012,.000747467918069
1000000,2.717653000000000,0.0111,.000231333062106
10000000,2.718219300000000,0.1112,.000023002934570
100000000,2.718285190000000,0.2995,.000001236641808
1000000000,2.718273985999999,1.7751,.000002885079451
10000000000,2.718289815200000,16.5910,.000002938157799
