Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.800000000000000,0.0004,.030062435280038
100,2.640000000000000,0.0004,.028798275307392
1000,2.715000000000000,0.0004,.001207317219534
10000,2.723300000000000,0.0004,.001846082142188
100000,2.720000000000000,0.0014,.000632079986323
1000000,2.718825000000000,0.0117,.000199821642946
10000000,2.718394600000000,0.1104,.000041486331466
100000000,2.718319310000000,0.1474,.000013788688340
1000000000,2.718288717000001,1.4553,.000002534152597
10000000000,2.718281657600000,14.9779,.000000062855529
